Iteration,Accuracy,C,Kernel
1,0.9340284550742133,44.95982924958261,poly
2,0.962138674540739,41.41743735703349,rbf
3,0.9421784301301911,24.129530685019628,rbf
4,0.9609944256567844,47.7302507407999,rbf
5,0.9450822085501513,30.89135316519398,rbf
6,0.9562963930261456,33.578348837860325,rbf
7,0.9375233770212639,25.57603114686301,rbf
8,0.9549029703354974,40.4327375053626,rbf
9,0.9432835236853513,25.428422808317684,rbf
10,0.9504869999660481,28.910985283840407,rbf
